cx,1200_I,1000_I,800_I,600_I,1200_V,1000_V,800_V,600_V
0,3.742590592,3.386182021,2.94987132,2.626239509,-2.489940319,-2.616583941,-2.569303608,-2.190369564
0.12,4.724180369,4.325390139,3.921161898,3.374338218,-2.465658233,-2.648349959,-2.9098659,-2.984396892
0.22,5.557963265,5.227174068,4.965545595,4.628546561,-2.397561618,-2.551934245,-2.526414222,-2.513399344
0.3,6.220368965,6.105910785,5.944741659,5.964804171,-2.328260514,-2.387714699,-2.44722094,-2.382770296
0.52,8.479064589,8.900429858,9.307995418,9.81459613,-2.568250455,-2.496323129,-2.61843555,-2.63475006
0.71,10.37871854,10.77737533,11.29064681,11.7073921,-2.786641438,-2.80254437,-2.827373721,-2.94656918
0.85,11.33850543,11.66437254,11.94903181,12.35405064,-2.660774338,-2.693250408,-2.704750845,-2.784745063
1,13.03848314,13.26008645,13.6206886,13.9213933,-2.082307666,-2.067500751,-2.092148283,-2.119093654
