v1/kT,vbccU,vu5mo,vu10mo,vu15mo,v30 kT,vu30mo,v50 kT,vu50mo,vMo kT,vbccMo
9.670469095,3.81851E-05,2.22853E-05,1.14424E-05,6.75971E-06,8.28897351,7.9209E-06,8.28897351,4.69089E-06,8.28897351,7.88089E-07
10.54960265,2.51308E-05,1.37329E-05,6.55683E-06,3.48438E-06,8.926586857,5.05199E-06,8.926586857,2.61519E-06,8.926586857,3.2864E-07
11.60456291,1.6183E-05,7.6526E-06,3.46444E-06,1.44964E-06,9.670469095,2.44938E-06,9.670469095,1.19958E-06,9.670469095,1.2613E-07
12.89395879,9.54722E-06,3.3437E-06,1.26038E-06,6.11746E-07,10.54960265,1.22008E-06,10.54960265,6.39256E-07,10.54960265,3.0493E-08
14.50570364,4.94063E-06,1.31054E-06,4.14395E-07,,11.60456291,2.89464E-07,,,,
