RS,Na-Na (Small),Na-Cl (Small),Cl-Cl (Small),RL,Na-Na (Large),Na-Cl (Large),Cl-Cl (Large)
5.915,0.796785376,1.275276801,0.71759481,10.14,0.937790559,1.067878423,0.91970403
5.985,0.781558249,1.292276572,0.710487061,10.26,0.944324371,1.059074355,0.936576829
6.055,0.769195513,1.292681129,0.702582022,10.38,0.951772998,1.048204756,0.952830754
6.125,0.767379369,1.294787934,0.702933591,10.5,0.966404559,1.033515471,0.957705922
6.195,0.774954739,1.292158557,0.702418701,10.62,0.978935489,1.020305653,0.973009279
6.265,0.77035578,1.286601428,0.714298293,10.74,0.997917166,1.005728754,0.996136877
6.335,0.775424708,1.277516325,0.712439991,10.86,1.004076079,0.985419702,1.011110732
6.405,0.784903579,1.258667123,0.730166215,10.98,1.022697783,0.974975703,1.018244514
6.475,0.793043314,1.236816717,0.749685209,11.1,1.031966726,0.96186082,1.034295588
6.545,0.813302288,1.20751951,0.76417154,11.22,1.040622034,0.955860928,1.044503371
6.615,0.828208928,1.181120661,0.78886297,11.34,1.04382505,0.948449772,1.061276845
6.685,0.847558231,1.162179,0.809926966,11.46,1.050894137,0.94595983,1.058505614
6.755,0.871002242,1.126769559,0.834973018,11.58,1.045113366,0.946291701,1.063601468
6.825,0.891814369,1.097265652,0.862722727,11.7,1.041437509,0.947851194,1.066946661
6.895,0.911956304,1.068402315,0.891899616,11.82,1.041625454,0.94401434,1.055339711
6.965,0.930981846,1.041171071,0.924306363,11.94,1.040590208,0.952961965,1.050857331
7.035,0.95828728,1.015619711,0.956725149,,,,
7.105,0.981230711,0.991482339,0.993128394,,,,
7.175,1.003113575,0.974752115,1.016552931,,,,
7.245,1.022274603,0.949766724,1.044882436,,,,
7.315,1.046998675,0.933711297,1.068896153,,,,
7.385,1.066869528,0.915235129,1.096568106,,,,
7.455,1.082989162,0.897309721,1.119044091,,,,
7.525,1.099738814,0.88743886,1.137756842,,,,
7.595,1.110953367,0.877429587,1.159297045,,,,
7.665,1.115417777,0.870599803,1.170887391,,,,
7.735,1.124127634,0.860638747,1.179042389,,,,
7.805,1.126872343,0.854600625,1.185217603,,,,
7.875,1.132879099,0.852356062,1.191610141,,,,
7.945,1.143443469,0.848751075,1.192608822,,,,
8.015,1.137386831,0.849359519,1.193166569,,,,
8.085,1.133418379,0.847540272,1.19260166,,,,
8.155,1.127442675,0.854835248,1.178355805,,,,
8.225,1.120006904,0.858743673,1.165590784,,,,
8.295,1.112898216,0.867937126,1.15651816,,,,
8.365,1.103442318,0.878971164,1.13716889,,,,
8.435,1.093075065,0.889882996,1.11901287,,,,
8.505,1.082236157,0.897802676,1.103911438,,,,
8.575,1.071600707,0.912569438,1.086758246,,,,
