1/kT,x0,x0.2,x0.33,x0.5,x0.7,x1
10.54960265,3.89584E-07,2.24485E-07,1.64091E-07,1.34335E-07,9.38494E-08,4.14405E-07
9.283650331,4.80965E-07,3.22323E-07,2.45808E-07,1.79184E-07,1.39974E-07,6.50421E-07
8.28897351,5.92109E-07,3.52025E-07,3.23168E-07,2.838E-07,1.81053E-07,8.95465E-07
