xP,1100P,1250P,1400P,900P
0,1,1,1,1
0.0056,0.999247042,0.999957722,1.000754596,0.99841101
0.0113,0.997716492,0.976496249,0.973350125,0.98261493
0.0246,0.999639309,1.000004272,1.000415595,0.999212271
0.0325,0.998127272,1.001237271,1.00472324,0.994467392
0.145,0.998610145,1.000294518,1.002187778,0.996633724
0.284,0.992455453,0.998269399,1.004768716,0.985594377
0.34,0.996542436,0.997739133,0.999087422,0.995141739
0.404,0.996291458,0.995951418,0.995586672,0.9967096
1,1,1,1,1
