RS,U-U (Small),U-Cl (Small),Cl-Cl (Small),RL,U-U (Large),U-Cl (Large),Cl-Cl (Large)
6.125,0.73998458,1.308356724,0.894109674,10.5,1.005278632,0.983959844,1.016300128
6.195,0.73203381,1.29232168,0.908260537,10.62,1.019475127,0.981444055,1.013770094
6.265,0.708660032,1.255742365,0.927387514,10.74,1.02512955,0.980474077,1.013899633
6.335,0.684534839,1.21756077,0.94773394,10.86,1.015666292,0.988352619,1.015182085
6.405,0.700612494,1.175972115,0.964113253,10.98,1.017112402,0.985205448,1.011301367
6.475,0.73032448,1.142118506,0.986798468,11.1,1.003216824,0.989542722,1.015369076
6.545,0.750789297,1.096581974,1.001309538,11.22,0.979525298,0.987641579,1.012261755
6.615,0.762098418,1.048960787,1.021281928,11.34,0.989216588,0.991780883,1.010119616
6.685,0.764749065,1.004439241,1.034802127,11.46,0.986681401,0.981440295,1.010749135
6.755,0.797435491,0.972624879,1.042845287,11.58,1.009448508,0.985739103,1.006838168
6.825,0.826247362,0.950136668,1.050970069,11.7,0.99701654,0.990269787,1.003313615
6.895,0.850330157,0.938363823,1.057163668,11.82,1.031589567,0.995565625,0.997570271
6.965,0.888633545,0.924454924,1.057033285,11.94,1.011083134,1.005899431,0.994465028
7.035,0.904134191,0.922405905,1.056299655,,,,
7.105,0.928164903,0.914070918,1.051046765,,,,
7.175,0.948529398,0.914945804,1.048643447,,,,
7.245,0.985705145,0.910335257,1.045797464,,,,
7.315,1.003194299,0.910415284,1.04214689,,,,
7.385,1.047344061,0.905044162,1.037879349,,,,
7.455,1.065061092,0.905569113,1.031630919,,,,
7.525,1.085992486,0.90570278,1.029405499,,,,
7.595,1.105521902,0.906923217,1.023172031,,,,
7.665,1.139368025,0.910996171,1.023285523,,,,
7.735,1.13311063,0.917021526,1.018381703,,,,
7.805,1.140522964,0.915197371,1.016446637,,,,
7.875,1.133335362,0.915234987,1.015382886,,,,
7.945,1.147514183,0.923963736,1.017097595,,,,
8.015,1.147096628,0.926279865,1.017429134,,,,
8.085,1.135184579,0.932443213,1.020242795,,,,
8.155,1.117920398,0.937192831,1.018928865,,,,
8.225,1.107538643,0.943562083,1.023274405,,,,
8.295,1.118924209,0.956495029,1.01953311,,,,
8.365,1.096538428,0.959321258,1.01906419,,,,
8.435,1.090713121,0.971934681,1.016097249,,,,
8.505,1.076614775,0.980612712,1.014130954,,,,
8.575,1.082220017,0.988356056,1.011726226,,,,
8.645,1.058669677,0.997956004,1.011403976,,,,
8.715,1.046679622,1.006982962,1.008705502,,,,
8.785,1.029621635,1.019380672,1.00052055,,,,
8.855,1.028371266,1.021868384,0.997244993,,,,
8.925,1.007245895,1.030293377,0.990179235,,,,
8.995,0.983032768,1.034467049,0.983790511,,,,
9.065,0.970067519,1.04373354,0.978777601,,,,
9.135,0.952876555,1.042964785,0.973788323,,,,
9.205,0.933857164,1.047351108,0.968038574,,,,
9.275,0.919160172,1.04895394,0.964546045,,,,
9.345,0.903582157,1.053201874,0.960137944,,,,
9.415,0.898661698,1.046779655,0.959498854,,,,
9.485,0.868316715,1.048186285,0.956403818,,,,
9.555,0.859539665,1.043699081,0.957897882,,,,
9.625,0.846876648,1.036924234,0.961200028,,,,
9.695,0.836206855,1.032988609,0.962245315,,,,
9.765,0.839158698,1.034973332,0.965998062,,,,
