time (ps),Lx,Ly,Lz
0.254,13.75449761,17.81527157,14.7965768
0.256,13.75535945,17.8122246,14.79663034
0.258,13.75621099,17.80922199,14.79607951
0.26,13.75711382,17.8061322,14.79542198
0.262,13.75810864,17.80314576,14.79440326
0.264,13.75873918,17.799877,14.79287162
0.266,13.75940492,17.7970967,14.79131176
0.268,13.76039819,17.79432508,14.78969326
0.27,13.76132135,17.79171408,14.78797974
0.272,13.76206931,17.7887469,14.7862666
0.274,13.76252439,17.78562747,14.78463922
0.276,13.76301727,17.78232451,14.78329213
0.278,13.76374599,17.77911599,14.78154998
0.28,13.76456244,17.77617864,14.78041885
0.282,13.76540202,17.77353517,14.77931348
0.284,13.76650078,17.77085958,14.77802256
0.286,13.76776623,17.76780547,14.77700828
0.288,13.76915165,17.76488694,14.77597075
0.29,13.7703683,17.76180996,14.77494917
0.292,13.77170393,17.75889656,14.77413454
0.294,13.77279529,17.75568342,14.77329708
0.296,13.7739581,17.75239832,14.77256506
0.298,13.77505574,17.74925562,14.77192322
0.3,13.77673221,17.74620661,14.77106256
0.302,13.7783525,17.7431697,14.77002533
0.304,13.77972553,17.74012565,14.76920817
0.306,13.78103246,17.73708969,14.76831804
0.308,13.78224671,17.73401144,14.76786734
0.31,13.78339426,17.73120037,14.76751462
0.312,13.78488753,17.72870526,14.76718872
0.314,13.78626013,17.72621573,14.76660657
0.316,13.78755587,17.72387418,14.76597879
0.318,13.78895365,17.72151578,14.76558501
0.32,13.79020645,17.71888109,14.76507512
0.322,13.79122576,17.7165064,14.76442429
0.324,13.79217078,17.7140551,14.76367159
0.326,13.79329666,17.71172993,14.76290012
0.328,13.79451864,17.70957743,14.76209023
0.33,13.79580188,17.70728432,14.76147624
0.332,13.79701744,17.70512372,14.76088583
0.334,13.79832268,17.70288702,14.75983433
0.336,13.79985855,17.70056038,14.75898938
0.338,13.80148059,17.69831178,14.75869962
0.34,13.80302586,17.69620898,14.75818667
0.342,13.80481873,17.69460162,14.75822422
0.344,13.80653705,17.69299974,14.75823712
0.346,13.80840848,17.69175024,14.75838548
0.348,13.81017762,17.6904712,14.75856918
0.35,13.81222106,17.68928919,14.75869463
0.352,13.81464587,17.68853315,14.75877876
0.354,13.81709998,17.68789685,14.75898675
0.356,13.81946846,17.68734119,14.75961417
0.358,13.8219579,17.68690903,14.76033446
0.36,13.82456783,17.68674002,14.76093255
0.362,13.8272716,17.68675104,14.76176984
0.364,13.82973566,17.6868852,14.76283395
0.366,13.83225966,17.68722164,14.76376131
0.368,13.83472852,17.68753915,14.76438386
0.37,13.83754993,17.68809247,14.76508047
0.372,13.84065297,17.68865876,14.76597558
0.374,13.84393922,17.68933849,14.76728933
0.376,13.84746917,17.68989677,14.76869982
0.378,13.85096427,17.6903899,14.77010286
0.38,13.85430103,17.69082779,14.77153228
0.382,13.85768896,17.69119397,14.77289869
0.384,13.86105509,17.69140841,14.77474617
0.386,13.86435037,17.69183158,14.77714984
0.388,13.86775189,17.69239281,14.77982109
0.39,13.87115747,17.69291239,14.78242717
0.392,13.8750593,17.69339419,14.78509268
0.394,13.87880713,17.69399935,14.78766159
0.396,13.88238559,17.69465328,14.79029889
