V,P,B
2674.043072,15.66525,14.35696163
2697.228288,4.9066,4.696960278
2708.870984,0.181775556,0
2720.547136,-3.71906,-4.610167423
2744,-12.84609,-13.57568739
2767.587264,-21.42346,-22.21050239
2791.309312,-28.302035,-30.52516426
2815.166528,-37.6502,-38.52988576
