R0,up0,down0,R4,up4,down4
-27.86160682,0,0,-26.72564312,0,0
-27.69160682,0,0,-26.54864312,0,0
-27.52160682,0,0,-26.37164312,0,0
-27.35160682,0,0,-26.19464312,0,0
-27.18160682,0,0,-26.01764312,0,0
-27.01160682,0,0,-25.84064312,0,0
-26.84160682,0,0,-25.66464312,0,0
-26.67160682,0,0,-25.48764312,0,0
-26.50160682,0,0,-25.31064312,0,0
-26.33160682,0,0,-25.13364312,0,0
-26.16160682,0,0,-24.95664312,0,0
-25.99160682,0,0,-24.77964312,0,0
-25.82160682,0,0,-24.60364312,0,0
-25.65160682,0,0,-24.42664312,0,0
-25.48160682,0,0,-24.24964312,0,0
-25.31160682,0,0,-24.07264312,0,0
-25.14160682,0,0,-23.89564312,0,0
-24.97160682,0,0,-23.71864312,0,0
-24.80160682,0,0,-23.54264312,0,0
-24.63160682,0,0,-23.36564312,0,0
-24.46160682,0,0,-23.18864312,0,0
-24.29160682,0,0,-23.01164312,0,0
-24.12160682,0,0,-22.83464312,0,0
-23.95160682,0,0,-22.65764312,0,0
-23.78160682,0,0,-22.48064312,0,0
-23.61160682,0,0,-22.30464312,0,0
-23.44160682,0,0,-22.12764312,0,0
-23.27160682,0,0,-21.95064312,0,0
-23.10160682,0,0,-21.77364312,0,0
-22.93160682,0,0,-21.59664312,0,0
-22.76160682,0,0,-21.41964312,0,0
-22.59160682,0,0,-21.24364312,0,0
-22.42160682,0,0,-21.06664312,0,0
-22.25160682,0,0,-20.88964312,0,0
-22.08160682,0,0,-20.71264312,0,0
-21.91160682,0,0,-20.53564312,0,-5.564E-12
-21.74160682,0,0,-20.35864312,3.516E-14,-0.00001622
-21.57160682,0,0,-20.18264312,5.408E-07,-0.1183
-21.40160682,0,0,-20.00564312,0.02078,-3.724
-21.23160682,4.275E-09,-7.448E-13,-19.82864312,3.791,-1.905
-21.06160682,0.0007857,-0.000002638,-19.65164312,19.21,-6.006
-20.89160682,0.6304,-0.03563,-19.47464312,15.08,-13.9
-20.72160682,4.576,-2.667,-19.29764312,26.78,-26.07
-20.55160682,4.644,-4.92,-19.12064312,54.34,-56.21
-20.38160682,29.3,-19.89,-18.94464312,47.54,-63.31
-20.21160682,57.31,-50.72,-18.76764312,61.77,-75.22
-20.04160682,69.31,-68.72,-18.59064312,74.88,-72.11
-19.87160682,69.78,-85.7,-18.41364312,54.82,-47.23
-19.70160682,64.89,-79.82,-18.23664312,50.79,-52.53
-19.53160682,50.3,-53.11,-18.05964312,70.72,-60.53
-19.36160682,53.96,-49.02,-17.88364312,59.68,-56.54
-19.19160682,48.99,-58.32,-17.70664312,61.32,-59.95
-19.02160682,77.54,-77.53,-17.52964312,45.86,-48.98
-18.85160682,79.92,-66.27,-17.35264312,18.49,-24.66
-18.68160682,64.03,-44.67,-17.17564312,9.036,-8.66
-18.51160682,27.08,-31.98,-16.99864312,4.37,-0.9201
-18.34160682,3.564,-12.2,-16.82264312,0.066,-0.001308
-18.17160682,0.02084,-0.2866,-16.64564312,0.000004926,-5.494E-09
-18.00160682,8.283E-07,-0.00005809,-16.46864312,3.651E-08,-9.683E-08
-17.83160682,8.914E-11,-5.337E-11,-16.29164312,0.004236,-0.009154
-17.66160682,0.00006543,-5.223E-07,-16.11464312,1.96,-3.146
-17.49160682,0.1948,-0.0173,-15.93764312,15.46,-15.43
-17.32160682,4.126,-3.186,-15.76064312,6.585,-5.124
-17.15160682,5.732,-8.145,-15.58464312,15.46,-14.98
-16.98160682,7.419,-4.777,-15.40764312,16.68,-18.19
-16.81160682,14.48,-20.81,-15.23064312,35.96,-32.61
-16.64160682,28.38,-25.89,-15.05364312,56.49,-58.5
-16.47160682,38.68,-36.29,-14.87664312,76.71,-74.43
-16.30160682,59.21,-56.79,-14.69964312,69.6,-74.21
-16.13160682,64.23,-66.82,-14.52364312,75.06,-68.26
-15.96160682,58.64,-67.41,-14.34664312,74.29,-78.81
-15.79160682,95.4,-91.66,-14.16964312,72.38,-74.41
-15.62160682,86.08,-79.6,-13.99264312,58.21,-57.94
-15.45160682,66.51,-69.4,-13.81564312,32.17,-33.24
-15.28160682,57.32,-47.39,-13.63864312,23.15,-19.92
-15.11160682,42.9,-50.13,-13.46164312,21.67,-22.09
-14.94160682,24.42,-28.66,-13.28564312,15.54,-15.86
-14.77160682,23.06,-20.36,-13.10864312,9.22,-9.524
-14.60160682,13.45,-13.16,-12.93164312,1.95,-1.891
-14.43160682,8.228,-8.701,-12.75464312,0.005546,-0.004678
-14.26160682,7.171,-6.499,-12.57764312,5.786E-08,-4.208E-08
-14.09160682,0.224,-0.1803,-12.40064312,1.256E-15,-1.256E-15
-13.92160682,0.00004756,-0.00003938,-12.22464312,0,0
-13.75160682,4.232E-11,-3.799E-11,-12.04764312,0,0
-13.58160682,0,0,-11.87064312,0,0
-13.41160682,0,0,-11.69364312,0,0
-13.24160682,0,0,-11.51664312,0,0
-13.07160682,0,0,-11.33964312,0,0
-12.90160682,0,0,-11.16364312,0,0
-12.73160682,0,0,-10.98664312,0,0
-12.56160682,0,0,-10.80964312,0,0
-12.39160682,0,0,-10.63264312,0,0
-12.22160682,0,0,-10.45564312,0,0
-12.05160682,0,0,-10.27864312,0,0
-11.88160682,0,0,-10.10164312,0,0
-11.71160682,0,0,-9.92564312,0,0
-11.54160682,0,0,-9.74864312,0,0
-11.37160682,0,0,-9.57164312,0,0
-11.20160682,0,0,-9.39464312,0,0
-11.03160682,0,0,-9.21764312,0,0
-10.86160682,0,0,-9.04064312,0,0
-10.69160682,0,0,-8.86464312,0,0
