TL,DL,TS,DS,EL,ES
983.7247584,4.697343087,977.5118,4.704179673,-22.900416,-2.29E+01
1082.720972,4.612434087,1077.69108,4.601282599,-22.75516456,-22.72760323
1225.147344,4.405298175,1226.760873,4.416204097,-22.5198629,-22.50553545
1481.703833,4.131500158,1477.6786,4.095606578,-22.13589932,-22.152224
