P300,V300,P400,V400,P500,V500,P600,V600,P700,V700,Vir300,Vir400,Vir500,Vir600,Vir700
60.66054476,134.0673307,52.00793827,137.0668288,81.25495502,138.7349009,75.8470389,137.0516786,91.02449294,139.4114818,54.41720271,61.50298173,69.25312648,80.18599193,86.73521331
58.3168283,131.4137564,72.78969749,130.4436136,64.65734135,136.8512609,102.1378286,131.2912017,95.16795323,138.2140862,56.54983134,67.5923506,71.04558722,86.95999672,88.128496
47.77996631,130.6190163,65.08312079,126.8303455,95.13484269,130.4611637,100.7679714,129.2561611,113.1213216,136.4525411,57.21694461,71.38123391,77.79849646,89.60648379,90.25475328
51.42393947,129.1727275,63.54487369,125.7761737,74.38448966,128.6274222,94.93786056,128.2749959,114.4253196,129.9961322,58.46654833,72.55772487,79.95254382,90.93500037,98.92017778
57.96960318,122.5764455,99.20580855,119.3228484,79.35164159,124.1778346,91.64196787,127.3937095,138.6583159,126.1055858,64.81521505,80.56700895,85.64743227,92.15887833,104.9096947
61.62832107,120.311757,88.37988574,118.8297943,109.5133372,123.6847376,103.6858077,124.076072,130.7522803,124.2449734,67.27433631,81.24227859,86.3229872,97.04379081,108.011681
80.22515472,119.8547791,77.30022965,117.9752069,126.8332857,120.2911336,124.7598255,122.8512947,118.8830241,122.414471,67.7900176,82.43628414,91.24040347,98.96609616,111.2289567
70.52656611,119.0391667,75.2466095,116.0610009,87.38739899,120.2297071,120.1098501,121.0538401,114.0625764,119.594621,68.72742051,85.22431828,91.33395797,101.9134375,116.5356388
69.30683574,113.0203254,113.0919882,115.2945781,122.9627345,114.8369991,111.8693528,116.6912862,152.3557987,114.8217853,76.3903925,86.38683763,100.2586219,109.7577077,126.6222388
86.44844761,111.5216365,103.8764614,113.4255266,96.36723698,113.6246792,122.9481894,113.1845815,130.9086372,113.5105156,78.52751898,89.33998495,102.4776394,116.8755916,129.6690994
97.15347077,109.3634999,87.72245534,110.0811615,105.2202883,111.3522387,149.6567304,112.0362721,148.9211209,109.1363045,81.78871298,95.08019619,106.8756395,119.3852998,140.8350301
76.91348785,108.9286835,97.27059829,108.1835425,135.1414831,109.4649018,142.3310147,111.1164108,149.7475577,106.8368013,82.47361902,98.62601025,110.7843809,121.4647798,147.4033874
83.72040742,105.1323054,139.3030768,105.6933004,148.0903356,109.3272841,133.7374641,109.3368202,200.6053627,105.7090322,88.8901548,103.6354378,111.0790801,125.6726034,150.8231604
118.3482038,103.7214353,124.1011905,104.0167128,113.1760583,105.4832882,157.8228138,106.2483401,189.0051903,101.5639557,91.49244784,107.2582525,119.8933038,133.6077964,164.6612187
105.3985218,103.6675142,104.9815296,103.1617381,123.3978177,104.9299671,174.3852096,106.0863476,169.3375612,101.3120313,91.59443886,109.1895541,121.2614733,134.0479484,165.5726705
94.00841193,102.2587171,114.2692082,101.2018458,158.6340346,103.9893463,155.2525744,101.0546903,205.5332899,100.3360052,94.32838698,113.846521,123.6497239,149.0784262,169.1871914
100.4311495,98.22136959,150.217571,98.0929851,177.1238696,103.5512766,202.5813153,100.0678575,185.4401866,95.40834925,102.9716302,121.9578159,124.7896674,152.3683526,189.6905703
120.9024215,97.52871826,122.3233001,96.14883346,181.9705172,97.71315458,184.4864545,99.99469006,205.4470627,95.35921487,104.5876323,127.5384773,141.8777041,152.6172177,189.9160594
109.4125484,96.50423224,131.8832686,95.24860833,142.2187226,96.60116639,153.3796428,99.75132417,235.3398767,94.36842637,107.0564785,130.2692351,145.5857804,153.4499952,194.5616065
142.0145849,95.00147967,168.3757965,94.78788094,139.35513,96.25680401,210.7428603,95.70621591,203.641949,93.34652418,110.857343,131.7048706,146.7673829,168.5118783,199.5575086
118.743454,92.23212652,164.2927239,94.48541082,155.2758978,92.44530745,178.6093302,94.02457866,208.1363065,91.08870078,118.4755645,132.6618049,161.0021746,175.5266972,211.3933982
141.7395168,91.807798,189.1903825,89.80783173,163.9886669,91.85175963,179.334553,93.51752151,285.6552656,90.18352586,119.719258,149.0713993,163.427097,177.7388387,216.472477
163.0438887,88.62803075,197.0029493,89.33311456,211.600914,91.7039521,239.7159819,93.21592322,272.0136828,89.90927955,129.7651847,150.9239492,164.0404412,179.0769343,218.0516121
138.7635448,87.68341918,146.627522,88.37801669,221.6476943,91.45963963,236.9446894,92.31162794,246.0255993,89.51005276,133.0183644,154.7682444,165.0626874,183.1920053,220.3849386
162.5155247,87.58041796,158.7895866,88.00362255,223.374263,90.7622729,202.7106709,90.08412927,230.6313937,88.56085983,133.3811537,156.3193867,168.0396813,194.0319113,226.1024003
132.7421503,87.51162516,165.0074138,86.33219266,249.0232251,87.51518604,267.6628301,87.17309438,262.327384,88.00260655,133.6243565,163.5663016,183.1516737,209.895083,229.5809864
192.6307986,84.99978565,227.7867334,85.00382484,190.187681,85.14710737,206.6008375,87.09791995,230.9151423,86.80158342,143.0260621,169.7272531,195.6438182,210.3329204,237.3721932
185.2007755,83.624181,217.6645208,84.95480094,191.1832187,83.80990789,233.2054192,84.75337632,295.2186347,86.71297165,148.6405262,169.961855,203.3275997,224.7812628,237.9642876
155.13427,83.54220237,187.6727121,81.52053136,272.160594,83.1701048,252.4026614,83.56031977,272.667225,86.42076268,148.9863756,187.8120583,207.1797662,232.7694563,239.9341499
157.8491814,82.94882911,241.7788637,81.34410302,287.9691538,82.95058431,240.3532746,82.48603111,300.6150257,84.25053972,151.5290459,188.8104681,208.5289091,240.3664689,255.4431571
180.769861,79.1530443,263.0922326,80.309751,215.723303,81.45957341,306.8774868,82.34568373,259.7962742,83.68528157,169.5941166,194.8403139,218.0825705,241.3887171,259.7535717
179.0061101,78.99745617,192.0415158,79.86276819,316.4904703,80.62876133,304.4841087,82.01191955,284.3082187,82.79645441,170.4077143,197.5427416,223.7177106,243.848311,266.7757584
230.0991021,77.82790033,216.7492578,78.01531939,219.6064127,80.59314207,283.1147856,81.27882135,335.8059377,82.47770668,176.7291558,209.3785585,223.9645519,249.3955973,269.369624
212.3851904,77.70977948,269.8568808,77.74930134,300.8113029,78.4875103,333.8949708,80.96435042,383.3369322,80.6973396,177.3884323,211.1763719,239.3754804,251.8380687,284.6411167
201.251226,75.75566189,217.3920251,77.04809696,247.5152717,76.93675226,280.3029234,80.87680114,408.8098708,80.4885055,188.8916826,216.0354717,251.8450184,252.5249462,286.5240477
239.2204228,75.16523131,296.7739936,75.16019477,247.4357423,76.27338163,301.9110311,80.4588225,341.7225551,79.36414841,192.6025308,230.0434243,257.4989686,255.8463565,297.0158768
203.5826483,75.16327874,243.9357179,73.76986776,334.2270499,76.090562,262.8713003,79.56900149,370.8586787,78.42921798,192.6149945,241.3066692,259.0927496,263.1564587,306.2189852
260.8099877,74.48489866,305.0552126,73.19486152,368.6805332,73.77679497,334.5633422,79.54892056,350.3170291,76.50303108,197.0240884,246.2220525,280.6969653,263.325298,326.6822115
262.2426796,72.7549657,246.0237369,73.182692,274.1893175,73.60504748,373.7553988,76.95531816,461.8564432,76.37825562,209.0212871,246.3277872,282.4135177,286.6874099,328.0825552
229.4204529,72.00850071,330.6744493,72.68169599,371.235656,72.87892142,324.0738769,75.76275007,389.6940899,75.11043522,214.5585328,250.7436689,289.8571413,298.5610974,342.8689435
231.1104479,71.64521737,335.3836515,71.42096219,278.6823972,72.69512878,374.7873623,75.55177474,338.6977198,73.7629377,217.3374996,262.4245772,291.7902916,300.7430241,359.7743342
302.7018417,70.99145751,275.391526,71.18252121,408.0766404,71.65717611,405.607586,74.49187987,446.9833573,72.19692275,222.483391,264.729913,303.0980701,312.0970693,381.1277305
254.7506359,69.55332656,277.9155523,69.38936673,306.2122209,70.81560998,358.7602674,73.39880443,433.7530012,71.57220464,234.5003258,283.1314471,312.7793581,324.5328507,390.2049231
253.2884305,68.9066504,302.5805584,68.77522904,453.2546386,68.83527306,349.1930792,72.98312934,370.9529231,71.14435773,240.2385634,289.8961455,337.5618477,329.4679621,396.6179598
298.5036694,68.73297547,378.6848692,66.86202847,413.2246744,68.60544795,417.002453,72.75031342,404.7582391,68.64274518,241.8170958,312.6624282,340.6347089,332.28384,437.6220474
338.2730107,67.79185273,387.5793644,66.75787654,323.7360705,68.4901853,459.9096903,70.34025143,425.588418,67.62826166,250.6595015,313.9806344,342.1921854,363.7936244,456.14501
293.380502,66.32806538,337.8843605,66.69558175,343.5299109,67.06160175,388.7111606,70.02510051,521.643213,66.32549278,265.4488943,314.7731839,362.4474863,368.2571413,481.7549232
283.379546,66.16142681,307.0818063,66.4176379,497.680916,65.97556023,454.6845476,69.94729542,555.7636656,65.93683892,267.2181058,318.3472935,379.1116572,369.372219,489.8226346
327.51627,66.00589972,408.6952294,65.35942033,455.6298749,65.71251283,401.1579974,69.18139086,567.7493418,65.67205718,268.8858941,332.5446738,383.3251553,380.6346695,495.4377643
312.3031753,64.1736689,435.3728278,64.90004467,357.9191613,65.14502111,513.5191312,68.03754215,457.3325126,65.29137425,289.8100086,339.0132601,392.663531,398.473017,503.6844089
360.6267249,64.02240944,341.2534035,63.94110223,379.2962718,64.48177664,440.8946914,67.25187184,467.9521494,65.0135633,291.6488936,353.1547998,404.0259847,411.4849215,509.8352528
378.1509356,63.71582117,433.4989573,63.56112689,501.3793168,62.84559647,494.1921314,67.23105815,506.760488,63.98775269,295.4316914,359.0095205,434.2998267,411.8384868,533.5649579
412.5599779,62.37615264,377.1674685,63.34172791,599.5769034,61.80326249,422.1043519,67.02643793,618.2346817,63.39059326,312.8797125,362.4579159,455.4198734,415.3394223,548.1580569
332.7685021,61.53384304,486.2526177,61.39139586,404.4540484,61.77473414,462.41518,65.26188905,495.4157835,62.79304287,324.6723174,395.4648462,456.019628,447.5220157,563.3728537
447.4750267,61.41004596,374.3898981,61.04727003,579.943367,61.71228443,484.1328766,64.60667928,612.199177,62.29902036,326.4626809,401.7612717,457.3366894,460.4501397,576.4375647
347.3724648,60.99751982,417.8506805,60.10470024,543.8194856,61.46357595,565.4789513,64.13214739,661.2986751,61.27998411,332.5387576,419.8059363,462.6393707,470.1718833,604.8663863
356.725606,60.77406259,495.6035884,59.82673891,420.9250317,61.4093196,559.0438698,63.05956398,566.9971495,60.52051015,335.9023668,425.3614637,463.8084964,493.3286569,627.4425618
404.5940874,59.95375543,409.2600317,59.56598451,457.3261146,59.83272513,612.7221915,62.74221576,551.1644406,60.21516277,348.705149,430.6745098,499.8242037,500.511963,636.8754095
374.3392602,59.08743054,531.5426689,59.40422471,602.9551851,59.32674095,598.6269842,61.99535339,590.1033938,58.89170275,363.0488062,434.020896,512.276804,518.0540885,680.3029441
434.5148038,58.73532879,455.8358308,58.40649794,449.6853503,59.22673228,536.5211719,61.61631181,724.765309,58.16429324,369.1354372,455.553303,514.7930325,527.3137063,706.0675657
399.538392,57.14363568,535.0898067,57.94016977,675.4013948,58.98668771,516.503334,61.23212259,728.4514571,57.67604432,398.6723682,466.1713095,520.9085655,536.95552,724.178547
415.2042701,56.50283662,442.4934262,57.92912139,641.0961955,58.13345483,711.127574,60.82092085,857.8114631,57.27369545,411.5779193,466.4273555,543.547846,547.5716234,739.6230342
486.9559913,56.25146423,582.4439845,56.33176385,487.2895728,57.75180809,644.3594873,60.80654045,772.0003149,56.94931287,416.8124729,505.7801862,554.151697,547.9485693,752.4305317
546.3638631,56.02553531,589.6037535,56.19315437,499.0738851,57.58584262,563.7157333,59.86067045,666.7376272,56.36651108,421.6029157,509.4263061,558.8592135,573.6219222,776.27429
436.0699195,56.01808013,650.7640445,55.13694955,550.8233745,57.14312121,768.4342929,59.38168208,910.9067545,56.34993005,421.7623952,538.5385864,571.7114137,587.3141104,776.9688049
523.1092888,55.31526134,635.7935737,55.05517286,741.5517268,56.57230533,582.4398164,59.34129791,641.0267,56.2052602,437.2126278,540.8948412,588.9395685,588.4907427,783.0673071
453.8150352,54.69719747,493.1868776,54.92450832,793.9896647,55.72691337,693.6770572,58.95106045,648.4304775,56.16119608,451.510071,544.6915231,615.901038,600.0439034,784.9387574
535.2729924,54.05524118,551.0345078,54.38851905,551.0851834,55.07483095,608.276505,57.9597686,876.5025397,55.07483839,467.1115747,560.6855744,637.9607913,630.9538733,833.2275029
476.9256266,53.93612149,523.5191211,54.12082769,721.1114974,55.04043832,641.6491523,57.57591976,808.4869692,54.92590484,470.0947438,568.9345665,639.1564287,643.5599053,840.183979
568.5397001,53.41356473,724.9423046,53.76920265,539.5934377,54.93931247,722.178805,57.04280008,778.7049064,53.87576112,483.5221031,580.0448301,642.6911643,661.6954629,891.7242645
496.9284938,52.47824424,535.8834268,53.03937696,610.5259175,54.63851487,647.7261745,56.80947522,866.3688416,53.75488944,509.0190015,604.1488154,653.3767497,669.8708912,897.9494936
619.3834776,52.41238134,601.7017679,52.50774652,801.3716603,53.96122096,857.2742489,56.62157377,748.5059822,53.32229217,510.8890188,622.6452179,678.4126135,676.563518,920.7534026
524.6133877,51.97657564,696.9952661,52.35257919,865.2445715,53.93194863,686.1430264,56.29368392,720.587001,53.14112687,523.5226876,628.2004435,679.5261814,688.4804786,930.553053
618.5461861,51.82910765,713.9065921,51.74852461,596.4790803,53.85493738,819.7178528,54.99785244,763.1257637,52.78940443,527.9023441,650.5324038,682.4686344,738.7272258,950.0141124
675.9497665,51.17807522,770.3121477,51.20226984,770.6160368,53.49851954,787.9538199,54.41651001,885.2489113,52.74152882,547.8984659,671.7412345,696.3325407,763.0296486,952.7084939
539.7965804,50.9827974,589.0364353,51.06203482,669.0583618,53.11612914,749.1938161,54.40144025,995.304369,50.81271655,554.1141173,677.3486872,711.6693793,763.6750795,1071.111266
672.5418773,50.63725344,800.1422411,50.62331377,932.9838142,53.07746826,941.6538809,53.83901594,886.7451492,50.11800653,565.3697891,695.3386964,713.2473751,788.3447483,1118.954579
584.5516379,49.59991087,860.7923484,50.33050197,653.4710915,51.66613217,1057.09873,53.7320974,1082.643266,50.10354552,601.2515665,707.735104,774.5301715,793.1656927,1119.982688
754.0980232,49.49038028,642.9337126,49.4418317,682.9578408,51.4535356,757.5729274,53.73124868,943.8263944,49.31786561,605.2337462,747.3857401,784.4200367,793.2041328,1177.930461
585.9844102,49.44535282,675.0759976,49.37540919,885.1068296,51.42724316,725.6222927,53.69722365,854.9768525,48.85292716,606.8820021,750.4777746,785.6558539,794.7474329,1214.251137
737.0856324,48.78255664,711.4318597,49.07567022,1088.207937,51.32165883,1013.469759,53.48267331,1108.664292,48.04191149,631.9229113,764.6637891,790.6471366,804.580392,1281.518914
628.8909789,48.7821012,856.1085712,49.03670734,1035.895792,50.7491037,894.0125356,52.98180925,919.6940465,48.00218607,631.9406332,766.5362557,818.5299682,828.2350313,1284.948334
826.9122772,48.62000828,682.2200589,48.65470091,792.5242633,49.44388324,943.1501829,52.74110448,1161.085562,47.88882738,638.2942976,785.2508074,887.6447187,839.9635344,1294.80609
638.0950782,48.05634366,931.3020476,48.43989334,972.6228175,49.08348835,816.2593804,52.56430475,1214.184434,47.58423182,661.1287216,796.0652648,908.2073636,848.7322677,1321.829789
799.2851446,48.02576603,766.4530569,48.14672417,758.6431312,48.73702183,1134.417952,52.34780673,1301.22551,47.39689945,662.4012831,811.1746896,928.6262731,859.6516932,1338.847283
889.7645159,48.02141268,978.5640705,47.2256661,1102.551915,48.53556266,1011.887246,51.78588797,1054.147652,46.32011288,662.5827482,861.4236796,940.8030641,888.9595421,1442.919836
982.0914623,46.91348862,1036.638386,46.8786005,1215.310215,48.02316482,826.2109103,51.76281788,1267.745296,46.27245067,711.2221108,881.5213764,972.8232153,890.1935016,1447.786241
685.7296894,46.83847126,1024.370473,46.41324549,816.1025608,47.66882495,893.382823,50.71353982,1299.497297,46.19818907,714.7008348,909.539437,995.8849447,949.0343942,1455.414579
689.9324664,46.78366321,851.4483689,46.31013184,912.2148516,47.4758624,904.1453729,49.6402776,1421.655712,45.31017124,717.2580086,915.9199051,1008.773029,1015.182774,1551.170921
878.0766078,46.54324023,760.4280013,46.10145814,1062.862686,47.35931569,945.2434569,49.47900292,1021.652818,45.2029324,728.6333441,929.0294752,1016.672758,1025.689984,1563.327227
747.6172159,45.08247019,808.4215238,45.44444393,782.9834109,47.35299804,1379.664731,49.04942614,1076.909357,45.09767857,803.6897423,972.099882,1017.103496,1054.447678,1575.388532
766.8525725,45.07701297,923.042861,45.40373005,878.4772885,47.13113423,1129.160529,48.56478097,1200.769397,45.01344118,803.9906485,974.8619071,1032.396615,1088.293693,1585.135471
1121.122658,44.45997965,1136.31478,44.78940424,1211.679895,46.69912646,1040.6061,48.38735252,1509.842218,44.99727804,839.085492,1017.929486,1063.128748,1101.07241,1587.015312
817.436114,44.44407225,1153.558331,44.730918,1331.220801,46.4478314,1210.607497,47.90660306,1159.828811,43.92484952,840.0191195,1022.169921,1081.60671,1136.788941,1719.036248
803.5525856,44.41041228,1225.788171,44.56579973,1276.963093,46.34482128,991.8265087,47.8594303,1475.203107,43.22127741,841.9995882,1034.277793,1089.313094,1140.38194,1814.089396
1044.207088,44.29575192,877.7316721,44.2988509,890.6640898,46.21954842,1039.080198,47.38866037,1302.748187,42.91612089,848.7964042,1054.287456,1098.790433,1177.139199,1857.59229
982.5828246,44.216317,1234.014956,44.10208756,1544.806689,45.70894409,1497.735626,47.25452927,1190.588423,42.71089757,853.5513452,1069.389457,1138.653589,1187.919483,1887.665913
867.8506238,43.59163043,1322.278521,43.88969982,1453.909252,45.48669049,1332.071822,46.81742068,1667.591391,42.55513934,892.3102025,1086.036952,1156.646524,1224.037076,1910.942781
1149.244858,43.5458762,1417.392051,43.41150983,1632.358067,45.13413764,1304.556603,46.71399628,1596.620243,42.29451753,895.2473608,1124.88616,1186.022982,1232.809876,1950.787691
899.7268189,42.80763914,1016.501167,43.31414637,1077.344401,44.88180098,1121.402167,46.00633548,1763.014958,42.23200482,944.6095506,1133.036291,1207.699995,1295.288672,1960.515511
1266.156779,42.57468061,943.6708228,43.04645212,1749.832043,44.78274027,1401.344305,45.8685717,1688.716957,42.05163923,960.9920736,1155.878926,1216.36276,1307.969202,1988.961404
956.8356893,42.35115488,1089.295095,42.70455857,966.4403164,44.68000588,1160.362469,45.57167939,1915.542032,40.8023561,977.0941231,1186.00885,1225.43964,1335.897789,2202.535078
1267.926388,41.96058752,1333.90784,42.6487716,1869.563235,44.3632784,1482.192271,45.55027547,1443.96079,40.6596694,1006.163851,1191.02994,1254.03179,1337.943587,2228.90768
982.7370167,41.91052749,1538.153777,42.4729135,1438.217006,43.81899262,1226.978224,45.47899927,2231.874765,40.33531473,1009.978324,1207.055337,1305.403342,1344.788072,2290.492824
1472.977786,41.80845178,1022.013345,42.33880591,1053.720039,43.73304213,1198.515927,45.40299364,2081.504156,39.54244981,1017.820149,1219.480831,1313.784952,1352.1411,2451.192836
1042.186431,41.42747776,1482.684999,41.74291343,1033.103032,43.67571578,1295.822633,44.24830309,1773.476785,39.19882796,1047.863241,1276.923555,1319.417294,1471.148761,2525.645184
1598.453062,41.37141939,1204.144635,41.22891825,1539.999075,43.28313637,1729.559515,43.11869397,1564.304835,39.15785133,1052.389692,1329.568429,1358.914469,1602.253455,2534.728876
1389.246385,41.30195318,1601.530288,40.99587201,1112.199096,42.76444746,1478.815308,43.1079198,2617.767863,39.07258739,1058.037282,1354.442443,1413.686047,1603.581081,2553.773661
1646.537203,39.55604521,1122.833679,40.53113418,1210.526437,42.70278893,2012.773788,42.92178265,1903.785158,38.39643356,1215.27105,1406.02539,1420.401355,1626.761333,2711.945198
1261.029424,39.30551527,1733.860056,40.34491848,1204.740336,41.93624605,1380.161152,42.66844485,1767.30926,38.26087156,1240.492425,1427.465277,1507.738803,1659.066194,2745.253804
1864.997351,39.24138592,1933.51233,40.15532492,1299.240498,40.9992371,1605.94986,41.76146322,1870.33832,38.20540764,1247.066556,1449.765568,1625.001066,1782.316379,2759.042244
1312.973454,38.9848797,1326.557853,40.0466798,1925.086846,40.69809844,1879.925869,41.74207069,2321.795437,37.04160206,1273.856721,1462.763967,1665.375983,1785.088388,3071.423766
1950.173603,38.83601482,1204.934409,40.01413695,2138.322201,40.68175472,1906.381532,41.31749398,2955.165431,36.54783798,1289.775968,1466.689024,1667.6069,1847.304223,3218.491434
1361.18222,38.76404163,1337.560446,38.55851326,1429.309866,40.48080042,1603.841485,40.85535243,3365.41447,35.68442506,1297.57273,1658.363707,1695.379039,1918.485013,3499.403875
1809.494863,38.61536615,1785.774933,38.2857054,2441.951291,40.2987473,1696.136118,40.65123539,3305.514636,35.41731397,1313.888973,1698.108319,1721.095342,1951.132081,3592.982531
1764.473535,38.53481368,1574.364981,38.24509202,2089.866431,39.32366315,2329.319251,39.11004468,2241.112991,34.30868445,1322.849328,1704.137573,1868.443373,2224.208926,4019.488787
1435.00152,38.46262158,1433.750696,38.02994636,1689.939567,38.37083791,2433.634954,39.08771734,2413.393597,34.23052666,1330.952562,1736.575907,2029.774561,2228.540486,4052.069811
